iter	RMSE
0	9.434264132
1	9.422642845
2	9.413694968
3	9.406739094
4	9.401011274
5	9.396203343
6	9.392061521
7	9.388602296
8	9.385070494
9	9.382466652
10	9.379315522
11	9.376756336
12	9.375193127
13	9.373873467
14	9.372506868
15	9.371088623
16	9.370011919
17	9.36758568
18	9.366285283
19	9.364775081
20	9.363616406
21	9.36178625
22	9.360765959
23	9.359564082
24	9.35785714
25	9.356845833
26	9.354809518
27	9.353491767
28	9.352520533
29	9.351648216
30	9.350848104
31	9.349118593
32	9.347258822
33	9.346475191
34	9.345141287
35	9.342935791
36	9.341241159
37	9.34004083
38	9.338957974
39	9.338040793
40	9.336474538
41	9.335716222
42	9.334435856
43	9.333514889
44	9.332464359
45	9.331438168
46	9.329986656
47	9.32910526
48	9.327921968
49	9.326978301
50	9.325960569
51	9.324938298
52	9.324007653
53	9.32325679
54	9.32242066
55	9.321463524
56	9.320666323
57	9.320039283
58	9.319074603
59	9.318462175
60	9.317722084
61	9.317044544
62	9.316712868
63	9.315949139
64	9.314974308
65	9.314543958
66	9.314006161
67	9.313245267
68	9.312377506
69	9.311604518
70	9.311139497
71	9.310383408
72	9.309816769
73	9.309294931
74	9.308641886
75	9.308153892
76	9.307464132
77	9.306926881
78	9.306059958
79	9.305506258
80	9.304651926
81	9.304282722
82	9.3040067
83	9.303391728
84	9.302814152
85	9.301799457
86	9.301347682
87	9.30070633
88	9.298853436
89	9.298142154
90	9.297553701
91	9.296885717
92	9.296521511
93	9.295780411
94	9.295026896
95	9.294608487
96	9.294240209
97	9.293443404
98	9.292890756
99	9.292604037
100	9.292132441
101	9.291636011
102	9.290917727
103	9.290304894
104	9.289787685
105	9.289313561
106	9.288704241
107	9.288061723
108	9.287385145
109	9.287173573
110	9.286781769
111	9.286147464
112	9.285811081
113	9.285320563
114	9.284660111
115	9.284070035
116	9.283542166
117	9.282921102
118	9.282417059
119	9.282038552
120	9.281455473
121	9.281199772
122	9.280640545
123	9.280148854
124	9.279578332
125	9.279112195
126	9.278713748
127	9.278311517
128	9.277776506
129	9.277255402
130	9.276858246
131	9.276446659
132	9.276156889
133	9.275326279
134	9.274836689
135	9.27443011
136	9.274034194
137	9.273554735
138	9.273205864
139	9.272592519
140	9.272206615
141	9.271639692
142	9.271003345
143	9.270766711
144	9.270178754
145	9.269877635
146	9.26926882
147	9.26860967
148	9.268235334
149	9.26773714
150	9.267459939
151	9.266945042
152	9.266370666
153	9.265911796
154	9.265458475
155	9.264942198
156	9.264785621
157	9.264047027
158	9.263575439
159	9.263178219
160	9.262747048
161	9.262305937
162	9.261929486
163	9.261301041
164	9.260993053
165	9.260502026
166	9.260151427
167	9.25987606
168	9.25949407
169	9.259041053
170	9.258467714
171	9.257659911
172	9.257223342
173	9.256863719
174	9.256601566
175	9.256177356
176	9.255716035
177	9.255118397
178	9.254083361
179	9.253757888
180	9.253557582
181	9.253099096
182	9.252773865
183	9.252387786
184	9.251820747
185	9.251238021
186	9.250919246
187	9.250168669
188	9.249761882
189	9.249417372
190	9.249011614
191	9.248607426
192	9.248363508
193	9.247986832
194	9.247748654
195	9.247233384
196	9.246903358
197	9.246637833
198	9.246096527
199	9.245660711
200	9.245213207
201	9.244886472
202	9.244514229
203	9.244126475
204	9.243717129
205	9.242997272
206	9.24263854
207	9.242196407
208	9.241782446
209	9.241392223
210	9.240928556
211	9.240433946
212	9.239862591
213	9.23943916
214	9.239096628
215	9.238783521
216	9.238467112
217	9.238070455
218	9.23752557
219	9.237224446
220	9.236820419
221	9.236378955
222	9.236074045
223	9.235712402
224	9.235204749
225	9.234940731
226	9.234659522
227	9.234381067
228	9.233972728
229	9.233670387
230	9.233314481
